sex,whoagegrp_ht,max_whoinc_1_ht_2sd,max_whoinc_2_ht_2sd,max_whoinc_3_ht_2sd,max_whoinc_4_ht_2sd,max_whoinc_6_ht_2sd,,,,,
0,0,8.6,10.8,14.1,16.8,21,,,,,
0,1,7.2,9,11.9,14.2,18,,,,,
0,2,6,7.5,10,11.9,15.4,,,,,
0,3,5.1,6.4,8.5,10.2,13.5,,,,,
0,4,4.5,5.6,7.5,9,12.1,,,,,
0,5,4,5,6.8,8.2,11.2,,,,,
0,6,3.8,4.7,6.4,7.7,10.6,,,,,
0,7,3.6,4.5,6.1,7.4,10.1,,,,,
0,8,3.5,4.4,5.8,7.1,9.7,,,,,
0,9,3.4,4.2,5.7,6.9,9.4,,,,,
0,10,3.3,4.1,5.6,6.7,9.1,,,,,
0,11,3.2,4,5.4,6.5,8.8,,,,,
0,12,3.1,3.9,5.3,6.3,8.6,,,,,
0,13,3,3.8,5.2,6.1,8.3,,,,,
0,14,3,3.8,5,6,8.1,,,,,
0,15,3,3.7,4.9,5.9,7.9,,,,,
0,16,3,3.6,4.8,5.7,7.8,,,,,
0,17,3,3.6,4.8,5.6,7.6,,,,,
0,18,3,3.5,4.7,5.5,7.4,,,,,
0,19,3,3.5,4.7,5.4,7.4,,,,,
0,20,3,3.5,4.6,5.4,7.4,,,,,
0,21,3,3.4,4.5,5.4,7.4,,,,,
0,22,3,3.4,4.5,5.4,7.4,,,,,
0,23,3,3.4,4.5,5.4,7.4,,,,,
0,24,3,3.4,4.5,5.4,7.4,,,,,
1,0,8.1,10.1,13.1,15.9,19.8,,,,,
1,1,6.6,8.3,11.2,13.3,17,,,,,
1,2,5.6,7,9.4,11.2,14.7,,,,,
1,3,4.9,6.1,8.1,9.8,13.1,,,,,
1,4,4.2,5.3,7.2,8.8,11.9,,,,,
1,5,3.8,4.8,5.7,8.2,11.2,,,,,
1,6,3.8,4.7,6.4,7.8,10.6,,,,,
1,7,3.6,4.5,6.1,7.5,10.3,,,,,
1,8,3.4,4.3,5.9,7.3,9.9,,,,,
1,9,3.4,4.2,5.7,7,9.6,,,,,
1,10,3.3,4.1,5.6,6.8,9.4,,,,,
1,11,3.2,4,5.5,6.6,9.2,,,,,
1,12,3.1,3.9,5.4,6.5,9,,,,,
1,13,3.1,3.9,5.3,6.4,8.8,,,,,
1,14,3,3.8,5.2,6.2,8.6,,,,,
1,15,3,3.8,5.1,6.1,8.4,,,,,
1,16,3,3.7,5,6,8.2,,,,,
1,17,3,3.7,4.9,5.9,8,,,,,
1,18,3,3.6,4.8,5.7,7.8,,,,,
1,19,3,3.5,4.7,5.6,7.8,,,,,
1,20,3,3.5,4.6,5.5,7.8,,,,,
1,21,3,3.4,4.5,5.5,7.8,,,,,
1,22,3,3.4,4.5,5.5,7.8,,,,,
1,23,3,3.4,4.5,5.5,7.8,,,,,
1,24,3,3.4,4.5,5.5,7.8,,,,,